id,state,state abbreviation,population,black population,state population
13,Georgia,GA,"750,000 NEGROES AND OVER",750000,10711908
1,Alabama,AL,"600,000 - 750,000",675000,5024279
45,South Carolina,SC,"600,000 - 750,000",675000,5118425
28,Mississippi,MS,"600,000 - 750,000",675000,2961279
51,Virginia,VA,"600,000 - 750,000",675000,8631393
37,North Carolina,NC,"500,000 - 600,000",550000,10439388
22,Louisiana,LA,"500,000 - 600,000",550000,4657757
5,Arkansas,AR,"300,000 - 500,000",400000,3011524
48,Texas,TX,"300,000 - 500,000",400000,29145505
47,Tennessee,TN,"300,000 - 500,000",400000,6910840
21,Kentucky,KY,"200,000 - 300,000",250000,4505836
24,Maryland,MD,"200,000 - 300,000",250000,6177224
29,Missouri,MO,"100,000 - 200,000",150000,6154913
12,Florida,FL,"100,000 - 200,000",150000,21538187
42,Pennsylvania,PA,"100,000 - 200,000",150000,13002700
17,Illinois,IL,"50,000 - 100,000",75000,12812508
39,Ohio,OH,"50,000 - 100,000",75000,11799448
36,New York,NY,"50,000 - 100,000",75000,20201249
20,Kansas,KS,"25,000 - 50,000",37500,2937880
54,West Virginia,WV,"25,000 - 50,000",37500,1793716
34,New Jersey,NJ,"25,000 - 50,000",37500,9288994
18,Indiana,IN,"25,000 - 50,000",37500,6785528
10,Delaware,DE,"25,000 - 50,000",37500,989948
6,California,CA,"10,000 - 25,000",17500,39538223
9,Connecticut,CT,"10,000 - 25,000",17500,3605944
26,Michigan,MI,"10,000 - 25,000",17500,10077331
25,Massachusetts,MA,"10,000 - 25,000",17500,7029917
19,Iowa,IA,"10,000 - 25,000",17500,3190369
16,Idaho,ID,"UNDER - 10,000",10000,1839106
8,Colorado,CO,"UNDER - 10,000",10000,5773714
4,Arizona,AZ,"UNDER - 10,000",10000,7151502
30,Montana,MT,"UNDER - 10,000",10000,1084225
35,New Mexico,NM,"UNDER - 10,000",10000,2117522
32,Nevada,NV,"UNDER - 10,000",10000,3104614
31,Nebraska,NE,"UNDER - 10,000",10000,1961504
33,New Hampshire,NH,"UNDER - 10,000",10000,1377529
38,North Dakota,ND,"UNDER - 10,000",10000,779094
23,Maine,ME,"UNDER - 10,000",10000,1362359
27,Minnesota,MN,"UNDER - 10,000",10000,5706494
41,Oregon,OR,"UNDER - 10,000",10000,4237256
46,South Dakota,SD,"UNDER - 10,000",10000,886667
44,Rhode Island,RI,"UNDER - 10,000",10000,1097379
40,Oklahoma,OK,"UNDER - 10,000",10000,3959353
49,Utah,UT,"UNDER - 10,000",10000,3271616
50,Vermont,VT,"UNDER - 10,000",10000,643077
53,Washington,WA,"UNDER - 10,000",10000,7705281
55,Wisconsin,WI,"UNDER - 10,000",10000,5893718
56,Wyoming,WY,"UNDER - 10,000",10000,576851
